PEP_ID;National_ID;LON;LAT;ALT;NAME
6952;2;4.68333;50.55;150;Gembloux
6953;3;3.21667;50.7667;40;Aalbeke
6954;4;5.23333;50.55;140;Antheit
6955;5;3.53333;50.5833;60;Barry
6956;6;4.96667;50.9333;60;Bekkevoort
6957;11;3.56667;51.1833;10;Eeklo
6958;12;4.03333;50.6833;60;Enghien
6959;13;4.98333;51.15;24;Geel
6960;15;4.55;50.2833;260;Hanzinelle
6961;16;5.23333;50.3833;280;Havelange
6962;17;5.3;50.75;80;Heers
6963;18;5.35;50.2167;290;Hollogne
6964;19;4.86667;50.7167;80;Jodoigne
6965;20;4.98333;50.8833;40;Kersbeek
6966;21;2.96667;51.0833;17;Koekelare
6967;22;2.86667;51.1667;4;Leffinge
6968;23;5.7;50.7;120;Leval
6969;25;5.16667;50.65;130;Ligney
6970;26;4.61667;50.6667;120;Louvain-la-Neuve
6971;27;4.01667;50.6833;45;Marcq
6972;28;5.41667;50.5;220;Nandrin
6973;29;3.53333;50.85;68;Petegem
6974;30;2.71667;50.85;21;Poperinge
6975;31;4.55;50.7333;60;Rosières
6976;34;3.43333;50.8833;15;Waregem
6977;35;3.61667;51.2667;4;Watervliet
6978;36;4.6;50.7167;50;Wavre
6979;37;5.5;50.6667;160;Alleur
6980;38;3.66667;51.2167;5;Bassevelde
6981;39;5.56667;50.6333;80;Boirs
6982;40;4.13333;50.6;90;Braine-le-comte
6983;41;3.98333;50.5833;80;Chaussee-notre-dame
6984;42;5.35;50.4;300;Clavier
6985;43;4.25;51.3;6;Doel
6986;44;4.55;50.4833;160;Fleurus
6987;45;4.5;50.25;106;Fraire
6988;46;4.35;50.3333;190;Gozée
6989;47;4.68333;50.85;41;Heverlee
6990;48;2.6;51;190;Houtem
6991;49;4.95;50.45;150;Loyers
6992;50;4.83333;50.8667;48;Lubbeek
6993;51;3.41667;50.6833;110;Molenbaix
6994;52;5.36667;50.6833;140;Momalle
6995;53;5.11667;50.7167;110;Montenaken
6996;54;3.85;50.6833;30;Ollignies
6997;55;3.55;50.8667;54;Ooike
6999;57;4.36667;50.5833;140;Thines
7000;58;4.98333;50.2667;240;Thynes
7027;10;5.1;50.2833;260;Ciney
8300;8;5.333;49.883;400;Carlsbourg
8301;9;5.25;49.7;290;Chassepierre
8302;24;5.366;49.916;490;Libramont
8303;32;5.516;50;420;Tillet
8304;33;5.192;49.204;230;Tillet
